rank,name,kind,L,src,score_extra,dist_extra,n_near_extra,score_epi,dist_epi,n_near_epi
1,apt_01309,ss,50,mcts,-323.66,2.6040817959503526,56,-323.66,2.6040817959503526,39
2,apt_02350,ss,50,mcts,-310.15,3.361792676534364,35,-310.15,5.249632082346338,18
3,apt_00692,ss,53,mcts,-304.46,2.6659396092184857,58,-304.46,3.3511421933424446,41
4,apt_01347,ss,50,mcts,-300.5,2.2038325707730118,49,-300.5,2.96263041907018,23
5,apt_00032,ss,52,mcts,-299.16,2.9494338439775074,57,-299.16,6.430671582346591,41
6,apt_02471,ss,51,mcts,-298.82,3.5801648006761084,66,-298.82,6.914121997766605,45
7,apt_02016,ss,50,mcts,-298.76,2.158837650218293,51,-298.76,2.3100679643681428,25
8,apt_01477,ss,51,mcts,-298.35,2.179391428816776,49,-298.35,4.89120189728455,33
9,apt_02230,ss,52,mcts,-296.98,2.699341401156971,50,-296.98,3.395268766975594,28
10,apt_01517,ss,54,mcts,-295.36,2.7698790587316173,46,-295.36,2.8189852784291,32
11,apt_02791,ss,50,mcts,-294.61,2.1265084058145733,55,-294.61,4.953582340084808,35
12,apt_01443,ss,56,mcts,-293.93,2.678580594270038,60,-293.93,4.129060062532393,33
13,apt_02062,ss,53,mcts,-292.67,2.5590484559695454,47,-292.67,2.669980149738947,35
14,apt_02079,ss,50,mcts,-292.27,2.9349155013390194,47,-292.27,2.956730795997505,28
15,apt_00384,ss,50,mcts,-291.85,3.1323859915406262,42,-291.85,3.1323859915406262,27
16,apt_00711,ss,56,mcts,-291.85,2.6282705340204227,48,-291.85,2.6282705340204227,36
17,apt_01157,ss,50,mcts,-290.1,2.6581461585097155,52,-290.1,4.560076534445454,28
18,apt_01597,ss,51,mcts,-289.75,2.3483394132876265,45,-289.75,4.505154936292417,29
19,apt_00908,ss,50,mcts,-287.15,3.271134665525087,54,-287.15,5.094330574275679,33
20,apt_01373,ss,50,mcts,-287.07,2.4327461848700835,45,-287.07,2.5795918281774832,27
21,apt_01912,ss,50,mcts,-286.83,2.91522726386811,53,-286.83,3.92538685991584,40
22,apt_00610,ss,50,mcts,-286.42,2.4288600206681394,38,-286.42,2.4288600206681394,24
23,apt_02312,ss,50,mcts,-311.3,3.389383572273886,38,-285.07,6.374677560473165,20
24,apt_02640,ss,52,mcts,-284.52,2.304489965263466,41,-284.52,2.304489965263466,26
25,apt_00161,ss,56,mcts,-284.31,2.3686101409898646,54,-284.31,3.39104261253084,33
26,apt_01809,ss,53,mcts,-283.79,2.4217879758558727,48,-283.79,3.2787230746130454,32
27,apt_02709,ss,52,mcts,-283.47,2.4398926205880236,40,-283.47,4.340596272403146,30
28,apt_00862,ss,50,mcts,-282.05,3.47910922507471,49,-282.05,4.997040524150277,26
29,apt_02247,ss,50,mcts,-281.62,2.476194661168624,42,-281.62,2.682818480628161,31
